date,steps,distance,runDistance,calories,weekday,is_weekend
2023-03-25,7934,5773,163,205,Saturday,True
2023-03-26,1699,1162,166,44,Sunday,True
2023-03-27,597,408,126,17,Monday,False
2023-03-28,2782,2078,149,75,Tuesday,False
2023-03-29,2186,1496,135,52,Wednesday,False
2023-03-30,1450,992,87,35,Thursday,False
2023-03-31,5157,4038,144,142,Friday,False
2023-04-01,3423,2392,162,77,Saturday,True
2023-04-02,5170,3925,231,140,Sunday,True
2023-04-03,1009,690,87,25,Monday,False
2023-04-04,2533,1923,160,71,Tuesday,False
2023-04-05,1498,1025,195,40,Wednesday,False
2023-04-06,2168,1656,108,57,Thursday,False
2023-05-26,9066,6856,188,234,Friday,False
2023-05-27,12331,9226,336,318,Saturday,True
2023-05-28,16001,12126,506,408,Sunday,True
2023-05-29,4138,3026,208,99,Monday,False
2023-05-30,5401,4020,205,141,Tuesday,False
2023-05-31,3749,2797,177,95,Wednesday,False
2023-06-01,3601,2614,223,89,Thursday,False
2023-06-02,3243,2226,196,71,Friday,False
2023-06-03,19524,14995,432,505,Saturday,True
2023-06-04,3348,2470,241,90,Sunday,True
2023-06-05,5505,4162,137,146,Monday,False
2023-06-06,4551,3329,347,116,Tuesday,False
2023-06-07,15287,11878,467,411,Wednesday,False
2023-06-08,12328,8960,599,302,Thursday,False
2023-06-09,23722,18717,943,651,Friday,False
2023-06-10,6786,5147,452,180,Saturday,True
2023-06-11,7577,5604,279,193,Sunday,True
2023-06-12,1786,1311,158,48,Monday,False
2023-06-13,7770,6075,265,215,Tuesday,False
2023-06-14,6474,5000,196,171,Wednesday,False
2023-06-15,2938,2278,167,85,Thursday,False
2023-06-16,3245,2324,211,82,Friday,False
2023-06-17,5898,4442,145,153,Saturday,True
2023-06-18,13107,9890,348,336,Sunday,True
2023-06-19,2658,1971,170,68,Monday,False
2023-06-20,2795,1922,162,61,Tuesday,False
2023-06-21,3939,2774,176,93,Wednesday,False
2023-06-22,9169,6816,341,232,Thursday,False
2023-06-23,7914,6107,257,208,Friday,False
2023-06-24,6310,4701,412,169,Saturday,True
2023-06-25,880,602,153,30,Sunday,True
2023-06-26,3079,2107,205,68,Monday,False
2023-06-27,4335,3260,174,116,Tuesday,False
2023-06-28,6785,5159,292,180,Wednesday,False
2023-07-06,3569,2535,327,88,Thursday,False
2023-07-07,7007,5328,248,189,Friday,False
2023-07-08,10310,7932,429,265,Saturday,True
2023-07-09,18390,13979,590,474,Sunday,True
2023-07-10,6736,4990,262,171,Monday,False
2023-07-11,1699,1179,158,38,Tuesday,False
2023-07-12,3236,2257,286,74,Wednesday,False
2023-07-13,5576,3847,346,125,Thursday,False
2023-07-14,10559,8345,273,287,Friday,False
2023-07-15,28852,22443,758,777,Saturday,True
2023-07-16,9107,7549,287,269,Sunday,True
2023-07-17,6657,4946,393,169,Monday,False
2023-07-18,1011,692,107,28,Tuesday,False
2023-07-19,3345,2553,261,91,Wednesday,False
2023-07-20,2779,2026,311,81,Thursday,False
2023-07-21,10934,8530,604,306,Friday,False
2023-07-22,6016,4535,290,156,Saturday,True
2023-07-23,19480,14787,256,505,Sunday,True
2023-07-24,1633,1289,93,51,Monday,False
2023-07-25,1510,1033,185,38,Tuesday,False
2023-07-26,11115,8739,273,299,Wednesday,False
2023-07-27,4229,2984,351,104,Thursday,False
2023-07-28,6414,4904,205,171,Friday,False
2023-07-29,9573,7126,369,248,Saturday,True
2023-07-30,7331,5674,337,201,Sunday,True
2023-07-31,3686,2801,226,97,Monday,False
2023-08-01,3780,2925,203,106,Tuesday,False
2023-08-02,2932,2042,212,71,Wednesday,False
2023-08-03,3635,2696,289,94,Thursday,False
2023-08-04,4895,3552,181,114,Friday,False
2023-08-05,4675,3677,127,132,Saturday,True
2023-08-07,3591,2918,81,103,Monday,False
2023-08-08,6259,4722,410,168,Tuesday,False
2023-08-09,4964,3796,213,134,Wednesday,False
2023-08-10,8109,6171,404,213,Thursday,False
2023-08-11,15568,12309,375,421,Friday,False
2023-08-12,11607,8447,859,296,Saturday,True
2023-08-13,2902,2126,243,79,Sunday,True
2023-08-14,1407,963,164,37,Monday,False
2023-08-15,8260,6212,376,216,Tuesday,False
2023-08-16,4275,3075,232,101,Wednesday,False
2023-08-17,2077,1543,171,60,Thursday,False
2023-08-18,13643,10556,1667,367,Friday,False
2023-08-19,8720,6756,391,238,Saturday,True
2023-08-20,12865,9764,557,337,Sunday,True
2023-08-21,2194,1501,169,54,Monday,False
2023-09-01,4535,3114,442,116,Friday,False
2023-09-02,24950,18823,319,643,Saturday,True
2023-09-03,19531,15094,344,513,Sunday,True
2023-09-04,11640,8644,246,284,Monday,False
2023-09-05,14409,11308,200,383,Tuesday,False
2023-09-06,17196,12937,452,436,Wednesday,False
2023-09-07,4055,3165,101,112,Thursday,False
2023-09-08,3072,2118,195,70,Friday,False
2023-09-09,8207,6199,175,211,Saturday,True
2023-09-10,13282,9877,373,335,Sunday,True
2023-09-12,3964,2821,254,98,Tuesday,False
2023-09-13,5943,4708,120,166,Wednesday,False
2023-09-14,1438,984,150,38,Thursday,False
2023-09-15,2798,2056,167,70,Friday,False
2023-09-16,18058,14572,415,502,Saturday,True
2023-09-17,7133,5502,323,189,Sunday,True
2023-09-18,4091,2895,315,102,Monday,False
2023-09-19,2392,1813,108,63,Tuesday,False
2023-09-20,2371,1622,225,56,Wednesday,False
2023-09-21,854,584,165,26,Thursday,False
2023-09-22,3931,2698,332,87,Friday,False
2023-09-23,14757,11235,247,389,Saturday,True
2023-09-24,2163,1480,187,56,Sunday,True
2023-09-25,2085,1540,124,58,Monday,False
2023-09-26,8173,6249,305,214,Tuesday,False
2023-09-27,5493,4120,163,141,Wednesday,False
2023-09-28,7933,6045,303,206,Thursday,False
2023-09-29,8428,6777,284,235,Friday,False
2023-09-30,8142,6100,286,207,Saturday,True
2023-10-01,9937,7851,338,274,Sunday,True
2023-10-02,11048,8763,533,306,Monday,False
2023-10-04,4073,2882,248,102,Wednesday,False
2023-10-05,2069,1416,155,49,Thursday,False
2023-10-06,3791,2758,306,96,Friday,False
2023-10-07,2832,2102,312,79,Saturday,True
2023-10-08,10832,8322,327,286,Sunday,True
2023-10-09,2474,1697,194,54,Monday,False
2023-10-10,2334,1753,190,66,Tuesday,False
2023-10-11,3240,2278,445,78,Wednesday,False
2023-10-12,3333,2414,230,85,Thursday,False
2023-10-13,9192,6857,232,235,Friday,False
2023-10-14,14996,11623,1854,414,Saturday,True
2023-10-15,967,662,120,27,Sunday,True
2023-10-16,2394,1639,193,53,Monday,False
2023-10-17,3696,2807,230,101,Tuesday,False
2023-10-18,3838,2688,189,90,Wednesday,False
2023-10-19,2725,1994,155,68,Thursday,False
2023-10-20,9026,7191,411,250,Friday,False
2023-10-21,9738,7413,175,251,Saturday,True
2023-10-22,2005,1372,217,47,Sunday,True
2023-10-23,952,651,117,28,Monday,False
2023-10-24,2523,1735,166,60,Tuesday,False
2023-10-25,5044,3809,201,130,Wednesday,False
2023-10-26,2728,2000,236,76,Thursday,False
2023-10-27,6069,4542,201,159,Friday,False
2023-10-28,4554,3578,277,122,Saturday,True
2023-12-09,17306,13027,254,441,Saturday,True
2023-12-10,1544,1075,154,40,Sunday,True
2023-12-11,1132,790,63,29,Monday,False
2023-12-12,12465,9506,135,320,Tuesday,False
2023-12-13,1537,1052,180,41,Wednesday,False
2023-12-14,2788,1937,102,67,Thursday,False
2023-12-15,11974,9437,260,318,Friday,False
2023-12-16,4745,3590,226,126,Saturday,True
2023-12-17,10814,7698,330,268,Sunday,True
2023-12-18,1097,763,177,33,Monday,False
2023-12-19,6399,4696,88,161,Tuesday,False
2023-12-20,1041,712,79,23,Wednesday,False
2023-12-21,2002,1376,220,53,Thursday,False
2023-12-22,6890,5445,147,187,Friday,False
2023-12-23,9562,7261,370,248,Saturday,True
2023-12-24,28140,21598,139,734,Sunday,True
2023-12-25,5490,4079,208,144,Monday,False
2023-12-26,955,667,138,24,Tuesday,False
2023-12-27,4228,3110,298,109,Wednesday,False
2023-12-28,1257,860,169,35,Thursday,False
2023-12-29,8377,6153,310,211,Friday,False
2023-12-30,5697,4224,263,147,Saturday,True
2023-12-31,12031,9209,320,314,Sunday,True
2024-01-01,2801,1940,329,70,Monday,False
2024-01-11,691,473,98,21,Thursday,False
2024-01-12,7402,5694,211,193,Friday,False
2024-01-13,6966,5166,151,175,Saturday,True
2024-01-14,1336,935,199,33,Sunday,True
2024-01-15,1241,849,84,28,Monday,False
2024-01-16,789,543,100,20,Tuesday,False
2024-01-17,1217,833,146,31,Wednesday,False
2024-01-18,1102,754,93,28,Thursday,False
2024-01-19,1848,1297,143,44,Friday,False
2024-01-20,8779,6569,324,223,Saturday,True
2024-01-21,15641,11347,155,378,Sunday,True
2024-01-22,5377,3908,228,133,Monday,False
2024-01-23,1043,714,151,28,Tuesday,False
2024-01-24,2014,1378,229,45,Wednesday,False
2024-01-25,3085,2191,160,76,Thursday,False
2024-01-26,12144,9230,362,311,Friday,False
2024-01-27,4810,3528,252,123,Saturday,True
2024-01-28,9972,7673,329,260,Sunday,True
2024-01-29,6206,5022,172,176,Monday,False
2024-01-30,1087,744,113,28,Tuesday,False
2024-01-31,3433,2599,140,87,Wednesday,False
2024-02-01,2045,1410,198,51,Thursday,False
2024-02-08,2128,1458,221,49,Thursday,False
2024-02-09,3769,2870,206,101,Friday,False
2024-02-10,12970,9825,223,333,Saturday,True
2024-02-11,11303,8356,243,280,Sunday,True
2024-02-12,4874,3695,144,124,Monday,False
2024-02-13,9577,7619,236,268,Tuesday,False
2024-02-14,4651,3595,227,127,Wednesday,False
2024-02-15,2619,1795,172,53,Thursday,False
2024-02-16,3671,2837,188,97,Friday,False
2024-02-17,3454,2378,220,80,Saturday,True
2024-02-18,7085,5376,264,185,Sunday,True
2024-02-19,3762,2650,261,82,Monday,False
2024-02-20,1369,937,153,35,Tuesday,False
2024-02-21,4459,3339,155,114,Wednesday,False
2024-02-22,2926,2026,229,66,Thursday,False
2024-02-23,4100,3132,204,111,Friday,False
2024-02-24,15881,12713,428,441,Saturday,True
2024-02-25,6526,5011,201,174,Sunday,True
2024-02-26,772,528,99,18,Monday,False
2024-02-27,953,652,106,23,Tuesday,False
2024-02-28,2609,1787,76,54,Wednesday,False
2024-02-29,2681,1952,141,66,Thursday,False
2024-03-01,1950,1351,65,47,Friday,False
2024-03-02,15711,12035,292,408,Saturday,True
2024-03-03,8175,6070,159,213,Sunday,True
2024-03-04,2286,1570,173,48,Monday,False
2024-03-05,1712,1201,128,43,Tuesday,False
2024-03-06,931,637,62,22,Wednesday,False
2024-03-07,4654,3458,272,122,Thursday,False
2024-03-08,12379,9641,260,330,Friday,False
2024-03-09,19212,15446,516,526,Saturday,True
2024-03-10,5720,4318,252,151,Sunday,True
2024-03-11,9624,7456,225,256,Monday,False
2024-03-12,5161,4004,442,138,Tuesday,False
2024-03-13,6047,4843,243,167,Wednesday,False
2024-03-14,6520,5025,148,171,Thursday,False
2024-03-15,19218,14499,669,483,Friday,False
2024-03-16,5233,3946,232,139,Saturday,True
2024-03-17,2743,1904,305,62,Sunday,True
2024-03-18,4263,3264,71,113,Monday,False
2024-03-19,2013,1387,180,48,Tuesday,False
2024-03-20,4339,3351,120,116,Wednesday,False
2024-03-21,1384,947,197,34,Thursday,False
2024-03-22,4407,3151,286,108,Friday,False
2024-03-23,16147,12092,126,414,Saturday,True
2024-03-24,5511,4126,211,133,Sunday,True
2024-03-25,773,529,33,17,Monday,False
2024-03-29,2882,1987,203,70,Friday,False
2024-03-30,16300,12078,145,408,Saturday,True
2024-03-31,6063,4490,268,154,Sunday,True
2024-04-01,774,530,142,20,Monday,False
2024-04-02,14338,10694,277,359,Tuesday,False
2024-04-04,5087,3772,170,126,Thursday,False
2024-04-05,6693,5171,139,176,Friday,False
2024-04-06,12006,9321,419,323,Saturday,True
2024-04-07,1135,777,139,29,Sunday,True
2024-04-08,1175,804,201,35,Monday,False
2024-04-09,930,636,153,25,Tuesday,False
2024-04-10,4071,2829,159,96,Wednesday,False
2024-04-11,1041,712,147,30,Thursday,False
2024-04-12,4639,3531,181,121,Friday,False
2024-04-13,7647,5981,249,207,Saturday,True
2024-04-14,16953,13184,288,450,Sunday,True
2024-04-15,2954,2223,157,79,Monday,False
2024-04-16,4488,3564,244,128,Tuesday,False
2024-04-17,1763,1206,287,47,Wednesday,False
2024-04-18,2596,1803,194,66,Thursday,False
2024-04-19,5293,4002,263,136,Friday,False
2024-04-20,12982,9930,583,342,Saturday,True
2024-04-21,12265,9405,246,317,Sunday,True
2024-04-22,3639,2740,227,95,Monday,False
2024-04-23,1556,1071,128,40,Tuesday,False
2024-04-24,8789,6795,261,236,Wednesday,False
2024-04-25,3464,2416,185,83,Thursday,False
2024-04-26,3483,2401,180,82,Friday,False
2024-04-27,17795,13802,359,472,Saturday,True
2024-04-28,6788,4719,405,155,Sunday,True
2024-04-29,6142,4802,269,166,Monday,False
2024-04-30,9888,7407,286,250,Tuesday,False
2024-05-01,10577,8040,212,277,Wednesday,False
2024-05-02,3475,2421,137,81,Thursday,False
2024-05-03,6443,4717,222,158,Friday,False
2024-05-04,8544,6188,500,210,Saturday,True
2024-05-05,14165,10885,258,370,Sunday,True
2024-05-06,16502,12456,525,415,Monday,False
2024-05-07,7073,5605,142,190,Tuesday,False
2024-05-08,9175,6846,448,239,Wednesday,False
2024-05-09,15153,11437,425,396,Thursday,False
2024-07-05,9062,6823,212,230,Friday,False
2024-07-06,12319,9248,380,313,Saturday,True
2024-07-07,6971,5224,213,186,Sunday,True
2024-07-08,9221,6974,605,241,Monday,False
2024-07-09,6249,4654,431,158,Tuesday,False
2024-07-10,9503,7151,425,240,Wednesday,False
2024-07-11,13968,10841,535,380,Thursday,False
2024-07-12,7722,5706,206,191,Friday,False
2024-07-13,18597,14419,559,491,Saturday,True
2024-07-14,14899,11277,628,386,Sunday,True
2024-07-15,10414,7816,475,270,Monday,False
2024-07-16,10602,7944,288,266,Tuesday,False
2024-07-17,3819,2613,285,91,Wednesday,False
2024-07-18,29080,22227,596,768,Thursday,False
2024-07-19,21370,16261,506,556,Friday,False
2024-07-20,10401,7846,562,266,Saturday,True
2024-07-21,7950,6078,301,207,Sunday,True
2024-07-22,976,668,71,24,Monday,False
2024-07-23,1720,1188,108,44,Tuesday,False
2024-07-24,2236,1530,181,52,Wednesday,False
2024-07-25,4780,3731,229,137,Thursday,False
2024-07-26,2633,1833,253,63,Friday,False
2024-07-27,5367,4120,141,144,Saturday,True
2024-07-28,7600,5740,218,194,Sunday,True
2024-07-29,9464,7205,386,248,Monday,False
2024-07-30,7806,6194,269,221,Tuesday,False
2024-07-31,1218,833,149,35,Wednesday,False
2024-08-01,4968,3713,294,125,Thursday,False
2024-08-02,5554,4179,165,141,Friday,False
2024-08-03,14279,10683,369,354,Saturday,True
2024-08-04,6590,4659,449,160,Sunday,True
2024-08-05,968,662,159,27,Monday,False
2024-08-06,4364,3274,237,116,Tuesday,False
2024-08-07,4986,3872,233,139,Wednesday,False
2024-08-08,6667,4905,418,171,Thursday,False
2024-08-09,6809,5248,183,185,Friday,False
2024-08-10,17325,13207,415,443,Saturday,True
2024-08-11,17744,13603,300,457,Sunday,True
2024-08-12,20730,15882,563,535,Monday,False
2024-08-13,14208,10807,459,373,Tuesday,False
2024-08-14,7099,5453,206,187,Wednesday,False
2024-08-15,5876,4360,259,152,Thursday,False
2024-08-16,11896,8989,309,304,Friday,False
2024-08-17,19823,15346,584,512,Saturday,True
2024-08-18,13599,10496,238,352,Sunday,True
2024-08-19,3220,2405,343,87,Monday,False
2024-08-20,11489,8792,491,301,Tuesday,False
2024-08-21,4577,3530,159,124,Wednesday,False
2024-08-22,5582,4178,328,140,Thursday,False
2024-08-23,5441,4145,198,145,Friday,False
2024-08-24,13527,10318,525,347,Saturday,True
2024-08-25,8935,6745,830,229,Sunday,True
2024-08-26,9051,7010,422,243,Monday,False
2024-08-27,6235,4717,215,153,Tuesday,False
2024-08-28,1329,909,196,35,Wednesday,False
2024-08-29,6165,4568,291,159,Thursday,False
2024-08-30,10700,8381,319,296,Friday,False
2024-08-31,9952,7371,555,255,Saturday,True
2024-09-01,10338,7796,781,269,Sunday,True
2024-09-02,6055,4809,261,176,Monday,False
2024-09-03,4884,3609,204,124,Tuesday,False
2024-09-04,4311,3297,153,116,Wednesday,False
2024-09-05,12191,9401,326,330,Thursday,False
2024-09-06,928,635,113,25,Friday,False
2024-09-07,14730,11525,451,403,Saturday,True
2024-09-08,8257,6310,279,215,Sunday,True
2024-09-09,12278,9539,389,334,Monday,False
2024-09-10,5914,4361,281,153,Tuesday,False
2024-09-11,6537,5301,270,187,Wednesday,False
2024-09-12,4482,3364,144,120,Thursday,False
2024-09-13,7619,6012,290,212,Friday,False
2024-09-14,14011,10841,529,377,Saturday,True
2024-09-15,4122,3005,114,105,Sunday,True
2024-09-16,3551,2544,177,86,Monday,False
2024-09-17,5655,4257,276,143,Tuesday,False
2024-09-18,4337,3264,224,116,Wednesday,False
2024-09-19,7321,5567,328,195,Thursday,False
2024-09-20,16896,13298,304,458,Friday,False
2024-09-21,14994,11371,672,389,Saturday,True
2024-09-22,15256,11471,105,387,Sunday,True
2024-09-23,6657,5328,258,188,Monday,False
2024-09-24,10728,8248,435,284,Tuesday,False
2024-09-25,9010,6845,286,236,Wednesday,False
2024-09-26,10921,8398,377,294,Thursday,False
2024-09-27,2086,1506,155,55,Friday,False
2024-12-10,5041,3701,149,127,Tuesday,False
2024-12-11,1747,1213,125,47,Wednesday,False
2024-12-12,5106,3824,435,138,Thursday,False
2024-12-13,4892,3547,324,121,Friday,False
2024-12-14,11544,8552,347,281,Saturday,True
2024-12-15,3325,2410,216,89,Sunday,True
2024-12-16,6921,5143,344,180,Monday,False
2024-12-17,6997,5229,424,180,Tuesday,False
2024-12-18,8198,6081,466,203,Wednesday,False
2024-12-19,3155,2178,380,82,Thursday,False
2024-12-20,14592,11107,450,377,Friday,False
2024-12-21,7930,5996,418,207,Saturday,True
2024-12-22,1701,1164,205,44,Sunday,True
2024-12-23,6332,4808,161,165,Monday,False
2024-12-24,2028,1388,219,45,Tuesday,False
2024-12-25,7133,5147,389,178,Wednesday,False
2024-12-26,2893,2011,303,76,Thursday,False
2024-12-27,4048,2908,402,107,Friday,False
2024-12-28,8471,6355,530,215,Saturday,True
2024-12-29,811,555,102,23,Sunday,True
2024-12-30,1148,785,139,29,Monday,False
2024-12-31,5845,4277,439,150,Tuesday,False
2025-01-01,9365,7144,105,242,Wednesday,False
2025-01-02,2034,1440,238,50,Thursday,False
2025-01-03,4317,3313,136,113,Friday,False
2025-01-04,9173,6868,287,229,Saturday,True
2025-01-05,4227,3227,192,114,Sunday,True
2025-01-06,5114,3962,248,135,Monday,False
2025-01-07,2160,1569,113,56,Tuesday,False
2025-01-08,5980,4528,226,147,Wednesday,False
2025-01-09,5236,4014,307,143,Thursday,False
2025-01-10,703,481,76,17,Friday,False
2025-01-11,6504,4767,371,163,Saturday,True
2025-01-12,2219,1592,185,56,Sunday,True
2025-01-13,1900,1344,120,49,Monday,False
2025-01-14,6354,4695,226,154,Tuesday,False
2025-01-15,5642,4283,135,141,Wednesday,False
2025-01-16,6597,4961,299,163,Thursday,False
2025-01-17,3944,3096,128,108,Friday,False
2025-01-18,6479,4615,383,164,Saturday,True
2025-01-19,6463,4466,398,155,Sunday,True
2025-01-20,7981,5503,596,195,Monday,False
2025-01-21,9592,6677,533,221,Tuesday,False
2025-01-22,13322,9718,551,319,Wednesday,False
2025-01-23,7070,4880,465,157,Thursday,False
2025-01-24,7465,5138,507,166,Friday,False
2025-01-25,3233,2243,313,80,Saturday,True
2025-01-26,8252,6367,355,215,Sunday,True
2025-01-27,5275,4054,230,141,Monday,False
2025-01-28,6695,4866,404,165,Tuesday,False
2025-01-29,3101,2366,108,80,Wednesday,False
2025-01-30,10644,7974,489,264,Thursday,False
2025-01-31,2331,1633,182,60,Friday,False
2025-02-01,6070,4573,177,152,Saturday,True
2025-02-02,5474,4100,93,137,Sunday,True
2025-02-03,4200,3178,212,109,Monday,False
2025-02-04,4279,3302,169,120,Tuesday,False
2025-02-05,1618,1107,78,35,Wednesday,False
2025-02-06,6174,4667,365,161,Thursday,False
2025-02-07,1454,995,137,34,Friday,False
2025-02-08,5250,3953,289,134,Saturday,True
2025-02-09,9547,7698,246,266,Sunday,True
2025-02-10,1055,722,118,29,Monday,False
2025-02-11,6003,4553,277,156,Tuesday,False
2025-02-12,955,653,180,29,Wednesday,False
2025-02-13,5492,4079,251,138,Thursday,False
2025-02-14,3667,2701,153,95,Friday,False
2025-02-15,9712,7268,442,254,Saturday,True
2025-02-16,9187,7564,238,265,Sunday,True
2025-02-22,3926,2816,166,94,Saturday,True
2025-02-23,7914,6149,357,215,Sunday,True
2025-02-24,4990,3862,311,136,Monday,False
2025-02-25,5260,3853,208,126,Tuesday,False
2025-02-27,4519,3304,178,109,Thursday,False
2025-02-28,5447,3977,328,140,Friday,False
2025-03-01,4285,2986,549,111,Saturday,True
2025-03-02,7465,5833,377,197,Sunday,True
2025-03-03,873,597,145,26,Monday,False
2025-03-04,10183,7722,425,258,Tuesday,False
2025-03-05,1313,927,160,34,Wednesday,False
2025-03-06,5892,4292,220,147,Thursday,False
2025-03-07,6150,4608,203,157,Friday,False
2025-03-08,10667,8518,303,296,Saturday,True
2025-03-09,5634,4022,549,138,Sunday,True
2025-03-10,3144,2259,128,73,Monday,False
2025-03-11,5449,4185,259,142,Tuesday,False
2025-03-12,6059,4729,192,165,Wednesday,False
2025-03-13,5631,4114,416,141,Thursday,False
2025-03-14,6958,5495,187,190,Friday,False
2025-03-15,12874,9972,352,343,Saturday,True
2025-03-16,6564,4771,262,158,Sunday,True
2025-03-17,1300,889,51,31,Monday,False
2025-03-18,8820,6450,345,216,Tuesday,False
2025-03-19,3341,2437,360,84,Wednesday,False
2025-03-20,6811,5059,250,163,Thursday,False
2025-03-21,6080,4542,301,158,Friday,False
2025-03-22,6561,4622,457,154,Saturday,True
2025-03-23,4142,3076,230,107,Sunday,True
2025-03-24,1101,753,192,30,Monday,False
2025-03-25,6313,4551,299,154,Tuesday,False
2025-03-26,1754,1200,256,48,Wednesday,False
2025-03-27,5001,3530,476,125,Thursday,False
2025-03-28,7187,5165,183,171,Friday,False
2025-03-29,4779,3440,317,121,Saturday,True
2025-03-30,3442,2439,460,94,Sunday,True
2025-03-31,3651,2748,224,95,Monday,False
2025-04-01,6662,5136,161,174,Tuesday,False
2025-04-02,4003,3210,87,112,Wednesday,False
2025-04-03,877,600,52,24,Thursday,False
2025-04-04,3207,2336,156,79,Friday,False
2025-04-05,13014,9821,471,333,Saturday,True
2025-04-06,3579,2514,228,91,Sunday,True
2025-04-07,725,496,91,21,Monday,False
2025-04-08,3094,2411,85,85,Tuesday,False
2025-04-09,3398,2452,254,82,Wednesday,False
2025-04-10,4670,3475,172,121,Thursday,False
2025-04-24,3885,2941,174,102,Thursday,False
2025-04-25,4765,3557,165,120,Friday,False
2025-04-26,5648,4006,399,139,Saturday,True
2025-04-27,6677,5000,199,170,Sunday,True
2025-04-28,526,360,63,16,Monday,False
2025-04-29,4907,3746,302,135,Tuesday,False
2025-04-30,5258,4180,223,156,Wednesday,False
2025-05-01,4378,3274,262,113,Thursday,False
2025-05-02,633,433,97,19,Friday,False
2025-05-03,7967,5847,568,199,Saturday,True
2025-05-04,3046,2386,83,83,Sunday,True
2025-05-05,908,621,120,24,Monday,False
2025-05-06,5176,3937,363,134,Tuesday,False
2025-05-07,606,433,143,18,Wednesday,False
2025-05-08,13046,10046,469,341,Thursday,False
2025-05-10,4499,3345,345,126,Saturday,True
2025-05-11,2711,1927,286,72,Sunday,True
2025-05-12,1170,803,119,34,Monday,False
2025-05-13,4022,3081,201,107,Tuesday,False
2025-05-14,1968,1392,145,47,Wednesday,False
2025-05-15,4889,3713,131,128,Thursday,False
2025-05-16,542,371,89,19,Friday,False
2025-05-17,11397,8672,385,297,Saturday,True
2025-05-18,5637,4260,255,151,Sunday,True
2025-05-19,830,568,118,21,Monday,False
2025-05-20,4385,3255,162,112,Tuesday,False
2025-05-21,5468,3924,210,135,Wednesday,False
2025-05-22,4496,3384,170,121,Thursday,False
2025-05-23,1029,704,131,28,Friday,False
2025-05-24,8489,6360,372,215,Saturday,True
